Date,Time,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Communication level,Note,Physicological condition,Elim,ObjKills,ObjTime,Dam,Heal,Death,Weapon Acc,KillStreak,Offensive Assists,Defensive Assists,Scoped,,
5/31/2017,Evening,1,-,-,-,1,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Iste,KazioGeridoo,Killer14222,Krusher99,Lightninstar,Mark,Lijang Tower,4,3-1,lwww,,CP,21,Lucio,Zen,,3,,Good,26,18,2:59,11676,12797,15,,,,,,,
5/31/2017,Evening,2,-,-,-,2,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Cassiopeia,ColonalPanic,Imtoni,Kronixwolff,Pandark,Relo,Gilbraltar,1,3,88.63,3:55,Attack,4,Mercy,,,3,,Good,,,,,,,,,14,23,,,
5/31/2017,Evening,2,,,,2,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Cassiopeia,ColonalPanic,Imtoni,Kronixwolff,Pandark,Relo,Gilbraltar,2,0,81.56,0,Defense,4,Mercy,,,3,,Good,1,0,1:09,141,8637,3,,,,,,,
5/31/2017,Evening,3,-,-,-,3,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,AntMonn,DeathWalkxxx,Insurance,Mango,Psychotic,Roy,Volskaya Industries,1,1,,0,Defense,8,Zen,,,3,,Good,,,,,,,,,,,,,
5/31/2017,Evening,3,,,,3,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,AntMonn,DeathWalkxxx,Insurance,Mango,Psychotic,Roy,Volskaya Industries,2,2,,6:27,Attack,1.5,Lucio,,,3,,Good,13,4,0:25,8118,6217,3,38,2,0,2,,,
5/31/2017,Evening,4,-,-,-,4,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Cassiopeia,Imtoni,Kronixwolff,Pandark,Relo,Rubmme,Hanamura,1,2,,5:59,Attack,2,Zen,,,3,,Good,,,,,,,,,,,,,
5/31/2017,Evening,4,,,,4,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Cassiopeia,Imtoni,Kronixwolff,Pandark,Relo,Rubmme,Huanamura,2,0,,0,Defense,4,Zen,,,3,,Good,16,5,0:31,5820,4353,2,27,11,18,15,,,
5/31/2017,Evening,5,-,-,-,5,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Ganten7,Klanguru,MamaSqueaky,Rice,Shellz,Teddy,Temple of Anubis,1,2,,1:21,Attack,6.5,Zen,,,3,,Good,,,,,,,,,,,,,
5/31/2017,Evening,5,,,,5,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Ganten8,Klanguru,MamaSqueaky,Rice,Shellz,Teddy,Temple of Anubis,2,2,,0,Defense,8,mercy,Lucio,,3,,Good,15,14,1:57,6424,8844,9,21,5,1,14,,,
5/31/2017,Night,6,-,-,-,6,W,-,-,-,JustWingIt,Beast,Darkot,HBHack,Looty,Yrova,Aredjar,Cdawg,CoolstoryBro,Egg,Hundan12,Xerei,Dorado,1,2,74.55,,Attack,8,Zen,,,3,,Good,,,,,,,,,,,,,
