Date,Time,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Communication level,Note,Physicological condition,Elim,ObjKills,ObjTime,Dam,Heal,Death,Weapon Acc,KillStreak,Offensive Assists,Defensive Assists,Scoped
11/19/2017,Early Morning,1,2829,2804,-25,-1,L,2824,2796,-28,JustWingIt,DateMeB1tch,Nahchoz,Kriimz,PopEye,Sweatie,VineNoob,Tano,Sobra,BastionOnly,MoonDragon,Nankurunaisa,Horizon,1,2,,6:13,Defense,2.5,Zen,Lucio,,1,,TIlted,,,,,,,,,,,
11/19/2017,Early Morning,1,,,,-1,L,2824,2796,-28,JustWingIt,DateMeB1tch,Nahchoz,Kriimz,PopEye,Sweatie,VineNoob,Tano,Sobra,BastionOnly,MoonDragon,Nankurunaisa,Horizon,2,2,,0,Attack,8,Zen,Lucio,,1,,Meh,,,,,,,,,,,
11/19/2017,Early Morning,1,,,,-1,L,2824,2796,-28,JustWingIt,DateMeB1tch,Nahchoz,Kriimz,PopEye,Sweatie,VineNoob,Tano,Sobra,BastionOnly,MoonDragon,Nankurunaisa,Horizon,3,1,,2,Defense,,Mercy,,,1,,Meh,,,,,,,,,,,
11/19/2017,Early Morning,2,2804,2779,-25,-2,L,2821,2823,2,JustWingIt,Sivahawk,BossyCow,Spacetigermd,Dakaiser,SamKallday,Colgusstard,RilStylez,IgnoreObject,Krusher99,Foscam,TorbDaddy,Volskaya,1,2,,3:55,Attack,7,Zen,,,1,,,,,,,,,,,,,
11/19/2017,Early Morning,2,,,,-2,L,2821,2823,2,JustWingIt,Sivahawk,BossyCow,Spacetigermd,Dakaiser,SamKallday,Colgusstard,RilStylez,IgnoreObject,Krusher100,Foscam,TorbDaddy,Volskaya,2,2,,1:58,Defense,6,Zen,Lucio,,1,,,,,,,,,,,,,
11/19/2017,Early Morning,2,,,,-2,L,2821,2823,2,JustWingIt,Sivahawk,BossyCow,Spacetigermd,Dakaiser,SamKallday,Colgusstard,RilStylez,IgnoreObject,Krusher101,Foscam,TorbDaddy,Volskaya,3,2,,0,Defense,3,Zen,Lucio,,1,,,,,,,,,,,,,
11/19/2017,Early Morning,2,,,,-2,L,2821,2823,2,JustWingIt,Sivahawk,BossyCow,Spacetigermd,Dakaiser,SamKallday,Colgusstard,RilStylez,IgnoreObject,Krusher102,Foscam,TorbDaddy,Volskaya,4,0,,0,Attack,4,Ana,,,1,,,,,,,,,,,,,
11/19/2017,Early Morning,3,2779,2758,-21,-3,L,2783,2794,11,JustWingIt,Belmont,Nubbin,Redeem4,SilkMoney,Xcristoo,Sivhawk,BossyCow,Samkallday,Triza,Atomicspoon,NetZero,Lijang,2,0-2,ll,,CP,8.5,Lucio,,,,,,,,,,,,,,,,
11/19/2017,Early Morning,4,2758,2734,-24,-4,L,2750,2777,27,JustWingIt,Belmont,Avarice,Chips,LightMasterd,TwoBlunt,NoobzOrz,Baddaddy,Boosted,LuckyChris,NorthWest,SuperFinesse,Eichenwalde,1,1,,0,Attack,7,Lucio,,,,,,,,,,,,,,,,
11/19/2017,Early Morning,4,,,,-4,L,2750,2777,27,JustWingIt,Belmont,Avarice,Chips,LightMasterd,TwoBlunt,NoobzOrz,Baddaddy,Boosted,LuckyChris,NorthWest,SuperFinesse,Eichenwalde,2,2,,,Defense,,Ana,,,,,,,,,,,,,,,,
11/19/2017,Early Morning,5,2734,2706,-28,-5,L,2709,2717,8,JustWingIt,Proliferate,Noir,Atamisk,ToastySofa,Vagmesh69420,Crescendo,Vex,Watchurhp,DDay,Cinder,Swooo,Temple of Anubis,1,2,,2:28,Attack,5.5,Zen,Lucio,,,,,,,,,,,,,,,
11/19/2017,Early Morning,5,,,,-5,L,2709,2717,8,JustWingIt,Proliferate,Noir,Atamisk,ToastySofa,Vagmesh69421,Crescendo,Vex,Watchurhp,DDay,Cinder,Swooo,Temple of Anubis,2,2,,3:51,Defense,4,Ana,,,,,,,,,,,,,,,,
11/19/2017,Early Morning,5,,,,-5,L,2709,2717,8,JustWingIt,Proliferate,Noir,Atamisk,ToastySofa,Vagmesh69422,Crescendo,Vex,Watchurhp,DDay,Cinder,Swooo,Temple of Anubis,3,0,,0,Attack,2.5,Zen,Lucio,,,,,,,,,,,,,,,
11/19/2017,Early Morning,5,,,,-5,L,2709,2717,8,JustWingIt,Proliferate,Noir,Atamisk,ToastySofa,Vagmesh69423,Crescendo,Vex,Watchurhp,DDay,Cinder,Swooo,Temple of Anubis,4,1,,,Defense,,Mercy,,,,,,,,,,,,,,,,
