Date,Game ID,SR,SR Finish,Delta,Streak #,Win/ Loss/Draw,My Team's SR,Enemy Team's SR,Delta,Teammate,,,,,,Enemy Team,,,,,,Map,Round,Cap Score,Score/ Distance,Time Left,D/A/CP,Length of Match,Character,,,Note,,
12/4/2016,1,2387,,,,W,-,-,-,JustWingIt,Gwennie,HBHack,DJDirtyElbow,Crackeye,Planetarian,MrChad,Funkler,Zeefreeman,CrazyFi,Darkweld,WormWood,Nepal,-,wwllw,3-2,,CP,22,Ana,,,,,
12/4/2016,2,2387,2367,-20,,L,2617,2619,-2,JustWingIt,Gwennie,HBHack,Celluknight,Devious718,Flanksteak,Rockenstein,Rhino222222,UWOtm8,Karnage,Toosealy4me,Trianta,Dorado,1,-,74.54,0,Attack,6,Ana,,,,,
12/4/2016,2,,,,,L,2617,2619,-2,JustWingIt,Gwennie,HBHack,Celluknight,Devious719,Flanksteak,Rockenstein,Rhino222223,UWOtm9,Karnage,Toosealy4me,Trianta,Dorado,2,0,n/a,0,Defend,4,Torbjorn,Tracer,,,,
12/4/2016,3,2367,2367,0,,-,2680,2745,-65,Justwingit,CeleryMan,HBHack,Looty,MisterMaster,Teophrastus,Dad,Mom,Atdubz,Dreamkiller,Favion,Worsttoplane,Gibraltar,1,1,0,,Attack,0,Ana,,,,,
12/15/2016,4,2367,2367,0,,-,-,-,-,JustwingIt,Celeryman,HBHack,Looty,Manofthewild,TheSmalldog,DDSBUI,Hannibal,Hasaky,Ihave6pack,RIP,Starfish,Dorado,1,0,0,,Attack,0,,,,,,
12/15/2016,5,2367,2330,-37,,L,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,King's Row,1,3,70.19,0.8,Attack,8,Lucio,,,,,
12/15/2016,5,,,,,L,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,King's Row,2,3,70.19,3:25,Defend,5,Lucio,Ana,,,,
12/15/2016,5,,,,,L,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,King's Row,3,0,0,0,Attack,1,Lucio,Ana,,,,
12/15/2016,5,,,,,L,2659,2687,-28,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,MasterWee,Occi,AJWaka,Deadlykitten,Klubsee,Silver,Skuid,King's Row,4,1,0,0,Defend,3,Lucio,,,,,
12/15/2016,6,2330,2330,0,,-,2595,2683,-88,JustwingIt,Celeryman,HBHack,Looty,TheSmalldog,Dvus,Elucian,Pajerski,Penguin,Susieeq,Tomeev,Trotsky,Temple of Anubis,-,-,n/a,,Attack,,,,,,,
12/15/2016,7,2330,2350,20,,W,2573,2622,-49,JustwingIt,HBHack,Looty,TheSmalldog,Mao,Fubarcrew,DoctorDog,Kamikazi,BarryAllen,KCMax,Truealpha,Yugo,Nepal,-,wwllw,3-2,,CP,,Lucio,,,,,
12/6/2016,8,2350,2331,-19,,L,-,-,-,JustwingIt,ADAMFRO,HBHack,Yrova,Cresselia,DiamondSeek,Saurokai,BillSatchels,CryoSight,Fawx72,Markthevi,Primmslim,Dorado,1,1,95.55,0,Defend,12,Lucio,,,,,
12/6/2016,8,,,,,L,-,-,-,JustwingIt,ADAMFRO,HBHack,Yrova,Cresselia,DiamondSeek,Saurokai,BillSatchels,CryoSight,Fawx72,Markthevi,Primmslim,Dorado,2,0,57.08,0,Attack,,Ana,,,,,
12/6/2016,9,2331,2331,0,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,HBHack,Yrova,TheGlaze,Pikming,Billsatchels,CryoSight,Fawx72,Markthevi,Primmslim,Hanamura,1,2,n/a,0,Defend,9,Ana,,,,,
12/6/2016,9,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,HBHack,Yrova,TheGlaze,Pikming,Billsatchels,CryoSight,Fawx73,Markthevi,Primmslim,Hanamura,2,2,n/a,1:01,Attack,7,Ana,,,,,
12/6/2016,9,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,HBHack,Yrova,TheGlaze,Pikming,Billsatchels,CryoSight,Fawx74,Markthevi,Primmslim,Hanamura,3,0,n/a,0,Attack,2,Lucio,,,,,
12/6/2016,10,2331,2376,45,,W,-,-,-,JustwingIt,ADAMFRO,Berezaa,Yrova,Whimsy,ProCharles,Jcdamonsta,Barebacker,Junito2k,Thelastdon,Theruseblues,Vioiletlegacy,King's Row,1,2,34.28,0,Defend,10,Ana,,,,,
12/6/2016,10,,,,,W,-,-,-,JustwingIt,ADAMFRO,Berezaa,Yrova,Whimsy,ProCharles,Jcdamonsta,Barebacker,Junito2k,Thelastdon,Theruseblues,Vioiletlegacy,King's Row,2,3,34.29,1:09,Attack,7,Ana,,,,,
12/6/2016,11,2376,2419,43,,W,-,-,-,JustwingIt,ADAMFRO,Berezaa,Yrova,Kracky,Breadbug,MadlyDevoid,Kevin,Gin,GPonz,Kai,SneakySnake,ilios,-,www,3-0,,CP,13,Lucio,Ana,,,,
12/6/2016,12,2419,2419,0,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,1,2,n/a,5,Attack,4,Ana,,,,,
12/6/2016,12,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,2,2,n/a,1,Defend,8,Ana,,,,,
12/6/2016,12,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,3,2,n/a,0,Defend,5,Ana,,,,,
12/6/2016,12,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,4,2,n/a,1:33,Attack,6,Lucio,,,,,
12/6/2016,12,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,5,0,n/a,0,Defend,6,Lucio,,,,,
12/6/2016,12,,,,,Draw,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,Breadbug,Craft,Griffinkai,Jig,Sirrunlot,Tirren,Dumspring,Volskaya Industries,6,0,n/a,0,Attack,2,Lucio,,,,,
12/6/2016,13,2419,2454,35,,W,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,LittlePeace,Whimsy,Breakfast,Hoodwatch,Ditto,Hotchocolate,Polanety,Dorado,1,0,51.47,0,Defend,6,Mercy,,,,,
12/6/2016,13,,,,,W,-,-,-,JustwingIt,ADAMFRO,Berezaa,Favonius,Yrova,LittlePeace,Whimsy,Breakfast,Hoodwatch,Ditto,Hotchocolate,Polanety,Dorado,2,1,51.48,3:08,Attack,3,Zen,,,,,
12/6/2016,14,2454,2501,47,,W,-,-,-,JustwingIt,Favonius,Yrova,NotSoSlims,JustinSane13,Se7en89,PolarWizard,D4ncingcow,ButteredNuts,Elf,Kamilny,Meh,EichenWalde,1,2,44.97,0,Attack,8,Lucio,,,,,
12/6/2016,14,,,,,W,-,-,-,JustwingIt,Favonius,Yrova,NotSoSlims,JustinSane13,Se7en89,PolarWizard,D4ncingcow,ButteredNuts,Elf,Kamilny,Meh,EichenWalde,2,2,42.49,0,Defend,12,Ana,Mercy,Lucio,,,
12/6/2016,15,2501,2553,52,,W,-,-,-,JustwingIt,Yrova,Audioaw2015,Shl1m3,Thenyrus,Woik665,Madmike577,Multiply,FattestCloud,Misterfister,Ryry,Vicious,ilios,-,www,3-0,,CP,11,Lucio,,,,,
12/6/2016,16,2553,2616,63,,W,-,-,-,JustwingIt,Favonius,Yrova,Meecrob,Heritage,Rdales,Baconpriest,Bustwentysix,Pmuts,Dutchguts,Jigged,Waifmaterial,Hanamura,1,2,n/a,0,Attack,9,Ana,Zen,,,,
12/6/2016,16,,,,,W,-,-,-,JustwingIt,Favonius,Yrova,Meecrob,Heritage,Rdales,Baconpriest,Bustwentysix,Pmuts,Dutchguts,Jigged,Waifmaterial,Hanamura,2,1,n/a,0,Defend,,Ana,,,,,
12/6/2016,17,2616,2595,-21,,L,-,-,-,JustwingIt,ADAMFRO,Favonius,Yrova,KingPin,DayBreak,Nokeyboy062,Mitrus,Bronzie,Sockdolager,Undermind,Wacky,Temple of Anubis,1,2,n/a,1:15,Defend,7,Mercy,,,,,
12/6/2016,17,,,,,L,-,-,-,JustwingIt,ADAMFRO,Favonius,Yrova,KingPin,DayBreak,Nokeyboy063,Mitrus,Bronzie,Sockdolager,Undermind,Wacky,Temple of Anubis,2,2,n/a,0,Attack,10,Lucio,,,,,
12/6/2016,17,,,,,L,-,-,-,JustwingIt,ADAMFRO,Favonius,Yrova,KingPin,DayBreak,Nokeyboy064,Mitrus,Bronzie,Sockdolager,Undermind,Wacky,Temple of Anubis,3,1,n/a,34,Defend,2,Zen,Lucio,,,,
